body_type,sex,diet,transport_mode,vehicle_type,vehicle_monthly_km,daily_screen_hours,daily_internet_hours,heating_source,energy_efficient,air_travel_frequency,monthly_grocery_bill,waste_bags_per_week,carbon_emission_kg,screen_category
obese,female,vegetarian,private,diesel,1589,15,0,electricity,Sometimes,rarely,257,7,1922,High Screen Time (>6h)
obese,male,vegetarian,private,petrol,1047,21,1,coal,No,never,152,7,2605,High Screen Time (>6h)
normal,male,pescatarian,private,hybrid,269,23,14,electricity,Yes,rarely,136,6,1605,High Screen Time (>6h)
underweight,male,pescatarian,private,petrol,8073,3,9,coal,Yes,rarely,148,3,4185,Low Screen Time (≤6h)
underweight,male,vegetarian,walk/bicycle,None,60,16,10,coal,Sometimes,frequently,154,7,3221,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,10,17,18,electricity,Sometimes,never,293,1,412,High Screen Time (>6h)
normal,male,vegetarian,walk/bicycle,None,83,19,0,wood,No,very frequently,238,4,2919,High Screen Time (>6h)
overweight,female,vegetarian,private,petrol,6059,15,4,wood,No,frequently,296,2,4078,High Screen Time (>6h)
underweight,female,vegetarian,private,hybrid,7238,10,7,coal,No,frequently,73,2,2589,High Screen Time (>6h)
normal,male,vegan,private,hybrid,7115,0,8,electricity,No,rarely,160,4,2515,Low Screen Time (≤6h)
overweight,female,vegan,private,electric,8530,16,4,wood,Yes,very frequently,270,2,1948,High Screen Time (>6h)
normal,male,vegetarian,walk/bicycle,None,6,5,23,wood,Yes,never,276,6,2233,Low Screen Time (≤6h)
normal,female,vegetarian,private,hybrid,8874,15,5,electricity,No,never,122,4,2435,High Screen Time (>6h)
obese,male,vegetarian,public,None,762,8,11,electricity,No,very frequently,199,1,2867,High Screen Time (>6h)
overweight,male,vegetarian,public,None,263,20,6,natural gas,Yes,never,202,2,1554,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,56,15,22,electricity,Sometimes,never,155,3,976,High Screen Time (>6h)
underweight,male,omnivore,public,None,1218,14,8,wood,Yes,never,258,2,1846,High Screen Time (>6h)
overweight,male,vegan,public,None,1190,18,6,coal,Yes,never,94,4,1220,High Screen Time (>6h)
underweight,female,vegan,public,None,1340,1,8,wood,Sometimes,very frequently,245,4,2243,Low Screen Time (≤6h)
obese,female,pescatarian,public,None,419,17,24,coal,No,rarely,118,3,1792,High Screen Time (>6h)
underweight,female,pescatarian,private,electric,8383,14,2,electricity,No,never,294,4,1484,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,51,5,1,electricity,Sometimes,rarely,71,1,1292,Low Screen Time (≤6h)
obese,male,vegan,walk/bicycle,None,71,2,22,natural gas,Sometimes,never,125,6,1858,Low Screen Time (≤6h)
underweight,male,vegetarian,private,hybrid,4671,15,5,natural gas,No,very frequently,231,6,3571,High Screen Time (>6h)
underweight,male,omnivore,private,electric,3320,17,10,coal,Yes,very frequently,158,2,2599,High Screen Time (>6h)
overweight,female,pescatarian,public,None,144,23,2,coal,Sometimes,very frequently,84,2,2712,High Screen Time (>6h)
underweight,female,vegetarian,public,None,865,14,2,wood,Yes,very frequently,224,1,1965,High Screen Time (>6h)
overweight,female,vegetarian,private,lpg,185,0,18,electricity,Sometimes,frequently,73,1,1349,Low Screen Time (≤6h)
normal,male,omnivore,public,None,1059,17,3,electricity,Yes,very frequently,290,5,3075,High Screen Time (>6h)
obese,female,omnivore,public,None,1943,13,6,coal,Sometimes,never,202,7,2465,High Screen Time (>6h)
obese,male,vegetarian,walk/bicycle,None,91,15,0,coal,No,never,277,1,1309,High Screen Time (>6h)
normal,female,pescatarian,public,None,1214,15,24,natural gas,Yes,rarely,286,2,1345,High Screen Time (>6h)
underweight,male,vegetarian,public,None,421,13,23,natural gas,Yes,frequently,235,7,1869,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,61,1,19,electricity,Sometimes,rarely,57,4,775,Low Screen Time (≤6h)
obese,female,omnivore,private,petrol,5642,9,14,coal,Yes,rarely,247,3,3959,High Screen Time (>6h)
overweight,female,vegetarian,private,electric,6428,9,11,natural gas,Yes,very frequently,91,1,2333,High Screen Time (>6h)
underweight,female,pescatarian,public,None,490,16,17,wood,No,rarely,140,3,1137,High Screen Time (>6h)
underweight,male,vegetarian,private,electric,1927,11,14,natural gas,Sometimes,never,235,2,1599,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,60,23,20,electricity,Sometimes,frequently,52,1,1392,High Screen Time (>6h)
underweight,male,vegetarian,private,electric,6181,10,12,wood,Yes,rarely,66,7,1588,High Screen Time (>6h)
obese,female,pescatarian,public,None,1134,15,14,natural gas,No,very frequently,109,2,2388,High Screen Time (>6h)
overweight,male,pescatarian,private,diesel,6441,8,15,coal,No,rarely,82,3,3655,High Screen Time (>6h)
overweight,male,vegan,public,None,645,11,15,coal,Sometimes,frequently,299,1,2369,High Screen Time (>6h)
underweight,female,pescatarian,public,None,15,10,22,coal,No,never,252,7,1344,High Screen Time (>6h)
normal,female,vegan,walk/bicycle,None,4,9,2,electricity,Yes,very frequently,64,5,1792,High Screen Time (>6h)
obese,male,omnivore,walk/bicycle,None,53,22,9,natural gas,Sometimes,very frequently,141,3,3125,High Screen Time (>6h)
overweight,female,vegetarian,public,None,1387,11,15,natural gas,Yes,frequently,236,2,2106,High Screen Time (>6h)
underweight,male,vegetarian,walk/bicycle,None,39,12,11,wood,Sometimes,frequently,57,1,1309,High Screen Time (>6h)
overweight,female,vegan,private,electric,3002,7,10,electricity,No,very frequently,232,3,2415,High Screen Time (>6h)
overweight,male,pescatarian,walk/bicycle,None,71,15,14,natural gas,No,frequently,203,4,2711,High Screen Time (>6h)
normal,male,omnivore,private,electric,3175,5,6,electricity,Sometimes,rarely,258,1,1290,Low Screen Time (≤6h)
underweight,female,omnivore,walk/bicycle,None,91,4,3,coal,Yes,never,179,2,694,Low Screen Time (≤6h)
overweight,male,vegan,walk/bicycle,None,50,19,8,wood,Sometimes,never,230,1,910,High Screen Time (>6h)
obese,male,vegetarian,public,None,804,6,4,natural gas,No,frequently,112,2,2485,Low Screen Time (≤6h)
overweight,female,vegetarian,private,hybrid,3754,3,22,wood,Sometimes,rarely,152,6,1757,Low Screen Time (≤6h)
overweight,female,vegetarian,public,None,25,11,18,electricity,Yes,very frequently,249,7,2153,High Screen Time (>6h)
normal,male,vegetarian,private,diesel,2635,11,22,coal,No,never,160,1,2031,High Screen Time (>6h)
normal,female,vegan,public,None,1427,5,15,wood,No,rarely,56,6,1477,Low Screen Time (≤6h)
normal,female,vegetarian,walk/bicycle,None,73,1,23,natural gas,No,very frequently,94,6,2085,Low Screen Time (≤6h)
overweight,male,vegan,walk/bicycle,None,88,9,8,electricity,Sometimes,rarely,193,6,1210,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,31,24,20,coal,Yes,rarely,121,5,1898,High Screen Time (>6h)
underweight,female,vegetarian,public,None,1495,1,15,wood,No,frequently,243,4,1785,Low Screen Time (≤6h)
normal,female,vegetarian,private,petrol,9933,12,5,electricity,No,frequently,119,3,4824,High Screen Time (>6h)
normal,female,vegan,private,hybrid,8869,23,23,electricity,Yes,frequently,172,6,2281,High Screen Time (>6h)
obese,female,vegan,private,petrol,3468,16,18,coal,Yes,never,238,4,2416,High Screen Time (>6h)
overweight,male,vegan,public,None,916,2,3,wood,No,never,166,5,1394,Low Screen Time (≤6h)
underweight,male,vegan,walk/bicycle,None,63,24,13,wood,No,never,79,2,1308,High Screen Time (>6h)
underweight,male,pescatarian,walk/bicycle,None,25,8,4,natural gas,Sometimes,never,118,1,878,High Screen Time (>6h)
normal,male,vegetarian,public,None,1779,16,12,coal,No,rarely,65,1,1293,High Screen Time (>6h)
normal,female,vegan,private,petrol,9759,12,19,coal,Yes,frequently,107,6,5424,High Screen Time (>6h)
underweight,male,omnivore,public,None,1669,24,14,natural gas,Sometimes,very frequently,94,1,2600,High Screen Time (>6h)
normal,female,vegetarian,walk/bicycle,None,2,19,9,wood,Sometimes,never,278,5,1071,High Screen Time (>6h)
overweight,male,vegetarian,public,None,1292,23,8,natural gas,No,frequently,79,1,1767,High Screen Time (>6h)
normal,female,vegetarian,public,None,1011,13,1,wood,Yes,frequently,267,6,2324,High Screen Time (>6h)
obese,female,omnivore,public,None,1182,24,5,electricity,Yes,very frequently,294,6,3606,High Screen Time (>6h)
obese,male,vegetarian,public,None,982,11,20,wood,Yes,rarely,166,2,1683,High Screen Time (>6h)
underweight,female,vegetarian,private,hybrid,4222,23,6,electricity,Yes,frequently,226,5,2262,High Screen Time (>6h)
normal,female,vegetarian,public,None,1065,18,3,coal,No,frequently,240,5,1942,High Screen Time (>6h)
underweight,male,vegan,walk/bicycle,None,83,10,0,electricity,No,very frequently,253,6,1860,High Screen Time (>6h)
normal,male,vegan,private,petrol,7598,4,19,natural gas,No,never,56,6,4462,Low Screen Time (≤6h)
underweight,female,pescatarian,walk/bicycle,None,9,23,17,electricity,Sometimes,very frequently,273,2,2031,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,7,24,22,wood,Yes,frequently,266,4,1546,High Screen Time (>6h)
overweight,female,pescatarian,public,None,833,23,10,natural gas,Sometimes,never,202,5,1475,High Screen Time (>6h)
obese,female,pescatarian,private,diesel,4136,14,18,coal,No,very frequently,170,2,4105,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,20,16,4,wood,Yes,never,178,5,1405,High Screen Time (>6h)
overweight,male,pescatarian,walk/bicycle,None,45,3,22,wood,No,never,297,4,2070,Low Screen Time (≤6h)
underweight,male,omnivore,public,None,853,17,4,coal,No,very frequently,88,2,2573,High Screen Time (>6h)
normal,male,omnivore,private,electric,1388,7,7,coal,Sometimes,never,80,4,1471,High Screen Time (>6h)
overweight,male,omnivore,public,None,718,21,10,natural gas,No,very frequently,290,7,3427,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,43,4,0,wood,Sometimes,rarely,238,3,1152,Low Screen Time (≤6h)
overweight,male,vegan,public,None,97,18,11,electricity,Yes,rarely,85,3,1165,High Screen Time (>6h)
underweight,female,vegetarian,public,None,1149,2,17,coal,Sometimes,very frequently,136,3,2682,Low Screen Time (≤6h)
underweight,male,pescatarian,private,lpg,4917,0,9,electricity,No,never,95,7,2634,Low Screen Time (≤6h)
underweight,female,vegan,private,diesel,3038,3,14,coal,No,frequently,213,7,2541,Low Screen Time (≤6h)
overweight,male,pescatarian,walk/bicycle,None,16,21,8,natural gas,No,rarely,254,4,1160,High Screen Time (>6h)
normal,male,vegetarian,private,petrol,1657,20,8,wood,No,rarely,298,2,2431,High Screen Time (>6h)
overweight,male,omnivore,walk/bicycle,None,49,9,24,coal,No,very frequently,126,5,3685,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,65,7,8,natural gas,Sometimes,frequently,76,6,2133,High Screen Time (>6h)
normal,female,vegetarian,private,petrol,2439,4,1,coal,No,very frequently,95,3,2799,Low Screen Time (≤6h)
normal,male,pescatarian,public,None,205,15,19,wood,Sometimes,never,233,5,1682,High Screen Time (>6h)
normal,male,omnivore,walk/bicycle,None,20,15,23,wood,No,frequently,168,1,1306,High Screen Time (>6h)
underweight,male,vegetarian,walk/bicycle,None,86,18,4,natural gas,Sometimes,very frequently,169,2,2006,High Screen Time (>6h)
obese,male,vegetarian,public,None,149,0,3,coal,Yes,frequently,190,6,3537,Low Screen Time (≤6h)
obese,male,vegan,walk/bicycle,None,70,22,13,electricity,Sometimes,very frequently,129,1,2993,High Screen Time (>6h)
normal,male,pescatarian,private,diesel,9151,2,23,wood,Yes,frequently,295,7,4359,Low Screen Time (≤6h)
underweight,female,pescatarian,walk/bicycle,None,92,7,6,wood,Yes,very frequently,188,4,2528,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,5,2,23,wood,Sometimes,frequently,202,2,1851,Low Screen Time (≤6h)
normal,male,pescatarian,public,None,1295,2,1,natural gas,No,frequently,271,7,2388,Low Screen Time (≤6h)
overweight,male,vegan,public,None,1475,15,15,wood,No,never,53,3,1409,High Screen Time (>6h)
overweight,male,vegan,private,lpg,1197,13,3,natural gas,No,rarely,132,6,1890,High Screen Time (>6h)
obese,female,pescatarian,public,None,1467,4,23,electricity,Sometimes,very frequently,130,4,3110,Low Screen Time (≤6h)
overweight,female,vegetarian,private,lpg,1526,15,9,coal,Yes,rarely,121,2,1373,High Screen Time (>6h)
obese,male,omnivore,private,electric,4621,22,1,coal,Sometimes,never,89,4,2029,High Screen Time (>6h)
overweight,male,pescatarian,private,lpg,3953,12,22,electricity,No,very frequently,175,6,4064,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,60,7,21,natural gas,Sometimes,never,59,1,973,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,68,9,7,electricity,Yes,frequently,88,2,1265,High Screen Time (>6h)
overweight,male,pescatarian,private,electric,2184,24,15,natural gas,No,rarely,213,6,2218,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,3,11,15,natural gas,Sometimes,frequently,222,5,1727,High Screen Time (>6h)
normal,male,vegan,public,None,1707,8,16,electricity,Sometimes,frequently,268,1,1865,High Screen Time (>6h)
normal,female,vegetarian,private,diesel,1655,10,1,natural gas,No,very frequently,115,6,2500,High Screen Time (>6h)
normal,male,pescatarian,private,diesel,5746,17,10,natural gas,No,very frequently,294,7,5098,High Screen Time (>6h)
overweight,female,pescatarian,public,None,1166,21,18,electricity,Sometimes,rarely,248,5,1674,High Screen Time (>6h)
underweight,female,omnivore,private,hybrid,1844,6,8,wood,Yes,very frequently,112,7,2011,Low Screen Time (≤6h)
underweight,male,vegan,walk/bicycle,None,66,1,12,coal,Sometimes,very frequently,100,7,2774,Low Screen Time (≤6h)
underweight,female,pescatarian,walk/bicycle,None,9,16,6,electricity,Yes,never,298,4,1101,High Screen Time (>6h)
obese,female,omnivore,private,lpg,8133,24,23,electricity,No,rarely,243,4,4372,High Screen Time (>6h)
overweight,female,vegan,public,None,1893,9,1,coal,Yes,rarely,139,2,1686,High Screen Time (>6h)
underweight,male,vegetarian,walk/bicycle,None,59,14,9,wood,No,very frequently,232,7,2361,High Screen Time (>6h)
overweight,female,vegan,private,petrol,6388,3,9,natural gas,Sometimes,frequently,170,3,4605,Low Screen Time (≤6h)
obese,male,omnivore,public,None,678,3,19,natural gas,No,frequently,173,1,1841,Low Screen Time (≤6h)
overweight,male,pescatarian,private,diesel,4861,16,3,electricity,Sometimes,frequently,151,6,3459,High Screen Time (>6h)
underweight,female,vegetarian,private,electric,1098,18,6,wood,Yes,rarely,220,6,1352,High Screen Time (>6h)
underweight,male,pescatarian,private,diesel,8031,16,15,natural gas,No,rarely,287,1,3340,High Screen Time (>6h)
underweight,male,vegan,private,lpg,3597,22,6,electricity,Yes,very frequently,254,6,2906,High Screen Time (>6h)
underweight,male,vegan,walk/bicycle,None,27,12,16,coal,No,rarely,204,5,1443,High Screen Time (>6h)
obese,female,pescatarian,private,petrol,2019,3,0,electricity,Yes,very frequently,114,5,2624,Low Screen Time (≤6h)
normal,male,vegetarian,private,electric,4880,8,9,coal,No,rarely,118,1,1513,High Screen Time (>6h)
underweight,female,vegetarian,public,None,494,19,5,electricity,No,never,221,4,1141,High Screen Time (>6h)
overweight,female,omnivore,public,None,787,9,19,coal,No,rarely,93,4,1745,High Screen Time (>6h)
underweight,male,omnivore,walk/bicycle,None,24,15,2,electricity,Yes,never,159,1,940,High Screen Time (>6h)
obese,female,pescatarian,public,None,1529,13,16,wood,Sometimes,frequently,204,2,2056,High Screen Time (>6h)
underweight,female,omnivore,public,None,1088,20,15,natural gas,No,very frequently,272,5,2814,High Screen Time (>6h)
normal,male,omnivore,public,None,966,22,19,natural gas,Sometimes,very frequently,214,2,3006,High Screen Time (>6h)
obese,female,vegan,private,lpg,6691,21,16,electricity,Yes,frequently,262,5,4065,High Screen Time (>6h)
normal,male,vegan,walk/bicycle,None,49,14,17,wood,Sometimes,very frequently,227,7,3159,High Screen Time (>6h)
underweight,male,pescatarian,public,None,539,20,19,wood,No,very frequently,241,2,2978,High Screen Time (>6h)
underweight,female,vegan,private,lpg,2411,6,18,wood,Sometimes,never,74,7,2292,Low Screen Time (≤6h)
overweight,male,vegan,private,electric,5689,11,6,wood,Sometimes,never,116,7,2253,High Screen Time (>6h)
underweight,female,vegan,public,None,421,24,19,natural gas,Sometimes,frequently,162,7,2108,High Screen Time (>6h)
obese,male,vegan,private,electric,625,16,19,wood,Sometimes,rarely,217,1,1605,High Screen Time (>6h)
normal,male,vegan,walk/bicycle,None,63,15,0,wood,No,frequently,269,7,2450,High Screen Time (>6h)
obese,male,vegetarian,walk/bicycle,None,15,23,14,electricity,No,very frequently,63,7,2691,High Screen Time (>6h)
obese,male,omnivore,public,None,1986,14,10,coal,Yes,frequently,194,2,2713,High Screen Time (>6h)
obese,male,pescatarian,walk/bicycle,None,37,15,8,natural gas,Sometimes,very frequently,245,5,3370,High Screen Time (>6h)
normal,female,vegan,public,None,1824,4,1,natural gas,No,never,106,7,1440,Low Screen Time (≤6h)
normal,female,omnivore,private,electric,3102,3,14,coal,No,rarely,88,3,1637,Low Screen Time (≤6h)
normal,female,omnivore,walk/bicycle,None,6,9,20,electricity,Yes,never,193,1,876,High Screen Time (>6h)
normal,female,pescatarian,walk/bicycle,None,98,5,12,coal,Yes,rarely,265,7,1973,Low Screen Time (≤6h)
obese,female,vegan,public,None,723,17,5,natural gas,No,very frequently,82,6,2925,High Screen Time (>6h)
normal,female,vegan,public,None,1763,23,11,wood,Yes,rarely,54,4,1157,High Screen Time (>6h)
obese,male,pescatarian,walk/bicycle,None,79,19,8,electricity,Yes,frequently,119,7,2249,High Screen Time (>6h)
normal,female,vegan,private,lpg,8769,3,0,wood,No,never,88,2,3406,Low Screen Time (≤6h)
overweight,male,pescatarian,public,None,1979,14,18,wood,Sometimes,never,156,1,1478,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,48,1,6,coal,No,frequently,228,2,2503,Low Screen Time (≤6h)
underweight,male,vegetarian,private,diesel,8909,24,14,wood,Yes,rarely,266,4,3272,High Screen Time (>6h)
obese,female,omnivore,public,None,1657,6,12,natural gas,No,never,101,5,1791,Low Screen Time (≤6h)
underweight,male,vegetarian,walk/bicycle,None,54,20,18,natural gas,Yes,rarely,128,3,1751,High Screen Time (>6h)
obese,female,pescatarian,walk/bicycle,None,45,15,15,natural gas,Yes,never,296,5,1718,High Screen Time (>6h)
overweight,female,pescatarian,public,None,1016,12,22,coal,No,frequently,108,4,1963,High Screen Time (>6h)
obese,male,vegetarian,private,petrol,1999,18,12,wood,Sometimes,very frequently,294,3,4741,High Screen Time (>6h)
overweight,female,vegan,public,None,712,6,21,electricity,No,rarely,68,6,1323,Low Screen Time (≤6h)
normal,female,pescatarian,public,None,1779,3,23,wood,Sometimes,never,126,3,921,Low Screen Time (≤6h)
normal,male,pescatarian,private,diesel,3215,4,12,electricity,Sometimes,never,65,6,1636,Low Screen Time (≤6h)
normal,male,pescatarian,public,None,1624,10,0,electricity,No,never,118,3,1473,High Screen Time (>6h)
overweight,male,pescatarian,public,None,553,4,3,wood,No,very frequently,110,4,3007,Low Screen Time (≤6h)
obese,female,omnivore,walk/bicycle,None,93,21,13,coal,Yes,very frequently,203,6,3500,High Screen Time (>6h)
obese,female,vegan,walk/bicycle,None,66,11,23,coal,Yes,frequently,185,1,2496,High Screen Time (>6h)
underweight,male,omnivore,public,None,1582,4,20,wood,No,rarely,67,7,1352,Low Screen Time (≤6h)
underweight,female,pescatarian,private,petrol,7233,14,9,natural gas,Yes,rarely,149,6,3764,High Screen Time (>6h)
normal,female,vegan,private,diesel,1188,14,0,electricity,No,rarely,183,5,1102,High Screen Time (>6h)
overweight,female,omnivore,public,None,1544,1,18,electricity,No,frequently,298,6,2337,Low Screen Time (≤6h)
normal,female,omnivore,public,None,1045,21,5,natural gas,Yes,rarely,274,2,1341,High Screen Time (>6h)
overweight,female,omnivore,private,lpg,9368,1,21,wood,Yes,frequently,119,4,4656,Low Screen Time (≤6h)
overweight,female,vegan,walk/bicycle,None,95,4,3,wood,Sometimes,rarely,104,4,1372,Low Screen Time (≤6h)
overweight,male,pescatarian,public,None,1105,13,14,natural gas,No,rarely,92,2,1074,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,89,9,22,natural gas,No,frequently,134,6,2047,High Screen Time (>6h)
overweight,male,vegan,private,hybrid,7827,14,10,wood,No,frequently,144,2,3630,High Screen Time (>6h)
obese,male,omnivore,walk/bicycle,None,23,8,4,natural gas,Sometimes,rarely,291,5,2358,High Screen Time (>6h)
obese,male,pescatarian,private,lpg,1300,6,17,natural gas,Yes,very frequently,159,5,3423,Low Screen Time (≤6h)
underweight,female,omnivore,public,None,810,12,7,wood,Yes,never,110,3,851,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,25,12,21,natural gas,No,frequently,130,3,1628,High Screen Time (>6h)
underweight,male,vegan,walk/bicycle,None,62,23,22,natural gas,Yes,frequently,56,5,1641,High Screen Time (>6h)
normal,female,pescatarian,public,None,1634,7,24,coal,No,rarely,133,4,2032,High Screen Time (>6h)
normal,male,vegetarian,private,hybrid,8366,5,22,natural gas,Yes,frequently,261,6,3287,Low Screen Time (≤6h)
obese,male,omnivore,private,diesel,9901,21,10,coal,Sometimes,rarely,149,1,4765,High Screen Time (>6h)
overweight,male,omnivore,public,None,57,0,21,wood,No,rarely,285,6,2233,Low Screen Time (≤6h)
underweight,female,omnivore,private,lpg,9662,19,1,natural gas,No,never,50,2,3314,High Screen Time (>6h)
overweight,female,pescatarian,private,electric,4009,24,23,electricity,Sometimes,frequently,116,7,1937,High Screen Time (>6h)
normal,male,vegetarian,public,None,1877,23,12,electricity,No,never,178,6,1487,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,20,13,18,electricity,No,frequently,88,6,1458,High Screen Time (>6h)
normal,female,vegan,private,electric,3438,8,19,natural gas,Sometimes,frequently,117,6,1669,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,95,19,3,coal,No,never,195,2,819,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,68,19,16,electricity,Yes,frequently,73,6,1155,High Screen Time (>6h)
normal,female,pescatarian,public,None,801,6,12,coal,Yes,never,187,3,942,Low Screen Time (≤6h)
underweight,female,vegetarian,walk/bicycle,None,61,8,0,natural gas,Sometimes,never,241,3,710,High Screen Time (>6h)
underweight,male,vegan,private,petrol,343,8,15,coal,No,frequently,280,1,2200,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,64,18,5,electricity,No,frequently,182,7,2206,High Screen Time (>6h)
underweight,male,vegan,public,None,1656,4,24,coal,Sometimes,frequently,112,6,2497,Low Screen Time (≤6h)
normal,male,pescatarian,walk/bicycle,None,92,0,7,natural gas,No,very frequently,299,1,2387,Low Screen Time (≤6h)
obese,female,vegetarian,public,None,1062,12,3,wood,No,never,67,2,535,High Screen Time (>6h)
normal,male,vegetarian,public,None,1292,12,15,coal,No,rarely,70,6,1922,High Screen Time (>6h)
underweight,male,vegetarian,walk/bicycle,None,10,20,21,wood,Yes,frequently,58,4,1778,High Screen Time (>6h)
overweight,male,omnivore,walk/bicycle,None,78,15,16,coal,No,rarely,51,4,1854,High Screen Time (>6h)
underweight,male,vegetarian,walk/bicycle,None,74,7,22,coal,Sometimes,frequently,175,2,2168,High Screen Time (>6h)
normal,female,pescatarian,public,None,1342,13,1,electricity,Sometimes,very frequently,164,6,2304,High Screen Time (>6h)
obese,male,vegetarian,walk/bicycle,None,19,9,2,electricity,Sometimes,never,117,7,1657,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,66,4,9,wood,Sometimes,rarely,159,1,1125,Low Screen Time (≤6h)
obese,female,omnivore,private,hybrid,7585,23,12,electricity,No,never,67,5,2428,High Screen Time (>6h)
overweight,male,vegetarian,private,electric,1762,1,8,coal,Sometimes,never,234,7,1685,Low Screen Time (≤6h)
normal,male,pescatarian,walk/bicycle,None,53,3,13,electricity,No,frequently,97,6,1831,Low Screen Time (≤6h)
obese,male,omnivore,walk/bicycle,None,14,24,16,coal,Yes,very frequently,172,1,3052,High Screen Time (>6h)
obese,female,vegetarian,public,None,931,24,2,natural gas,Yes,frequently,94,7,1725,High Screen Time (>6h)
overweight,male,vegan,public,None,149,9,6,wood,Sometimes,very frequently,228,4,3152,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,25,24,23,wood,Yes,rarely,60,3,1067,High Screen Time (>6h)
normal,male,vegetarian,private,hybrid,1952,3,14,natural gas,Sometimes,rarely,143,2,1497,Low Screen Time (≤6h)
obese,male,pescatarian,private,hybrid,932,10,16,electricity,Sometimes,very frequently,134,6,2669,High Screen Time (>6h)
overweight,female,vegetarian,private,hybrid,2924,9,9,wood,Yes,very frequently,97,2,2423,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,29,12,20,electricity,Sometimes,rarely,160,1,648,High Screen Time (>6h)
obese,female,omnivore,public,None,1574,7,2,coal,No,rarely,162,6,2335,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,77,13,12,natural gas,Sometimes,very frequently,176,6,1787,High Screen Time (>6h)
overweight,male,omnivore,walk/bicycle,None,62,0,12,natural gas,Sometimes,frequently,281,6,2485,Low Screen Time (≤6h)
normal,male,vegan,private,diesel,1884,8,1,wood,Sometimes,never,275,4,1886,High Screen Time (>6h)
normal,female,omnivore,public,None,452,14,4,coal,Yes,rarely,109,7,1666,High Screen Time (>6h)
underweight,female,omnivore,public,None,1584,3,15,coal,No,never,267,1,1439,Low Screen Time (≤6h)
overweight,male,pescatarian,public,None,1887,2,5,electricity,Yes,never,72,3,907,Low Screen Time (≤6h)
normal,male,vegan,walk/bicycle,None,30,12,22,electricity,Sometimes,rarely,237,4,1253,High Screen Time (>6h)
obese,male,pescatarian,private,lpg,7506,24,15,wood,Sometimes,frequently,164,5,5533,High Screen Time (>6h)
underweight,female,omnivore,public,None,719,7,9,wood,No,very frequently,180,3,1935,High Screen Time (>6h)
obese,male,vegetarian,private,electric,2671,18,8,natural gas,Sometimes,rarely,65,2,1487,High Screen Time (>6h)
obese,male,vegan,walk/bicycle,None,89,24,6,electricity,Sometimes,rarely,104,3,1541,High Screen Time (>6h)
obese,female,vegan,public,None,401,22,12,coal,Yes,rarely,86,6,2092,High Screen Time (>6h)
normal,male,vegetarian,walk/bicycle,None,58,3,13,wood,No,very frequently,284,4,2638,Low Screen Time (≤6h)
normal,female,omnivore,walk/bicycle,None,56,6,24,coal,No,very frequently,207,4,2504,Low Screen Time (≤6h)
normal,female,pescatarian,walk/bicycle,None,7,5,5,wood,No,never,92,4,1115,Low Screen Time (≤6h)
underweight,female,vegetarian,private,diesel,2570,4,12,electricity,No,rarely,112,4,1283,Low Screen Time (≤6h)
underweight,male,vegan,public,None,900,3,8,natural gas,No,very frequently,152,3,2590,Low Screen Time (≤6h)
underweight,male,omnivore,private,hybrid,3439,18,9,coal,No,rarely,298,1,2464,High Screen Time (>6h)
obese,female,pescatarian,walk/bicycle,None,2,24,10,natural gas,No,very frequently,189,2,3015,High Screen Time (>6h)
normal,male,omnivore,public,None,1492,24,13,electricity,Yes,never,270,6,1144,High Screen Time (>6h)
normal,female,vegetarian,public,None,39,21,12,natural gas,No,very frequently,139,3,2351,High Screen Time (>6h)
underweight,female,omnivore,walk/bicycle,None,30,4,0,natural gas,Sometimes,rarely,186,7,1689,Low Screen Time (≤6h)
underweight,male,pescatarian,private,hybrid,4799,20,23,wood,Yes,frequently,74,1,1732,High Screen Time (>6h)
overweight,male,omnivore,walk/bicycle,None,51,16,11,electricity,Sometimes,rarely,205,3,1733,High Screen Time (>6h)
